id_task,ref_task,titre,description,type_tache_id,bureau,qui,priorite,impact,statut,historique_statuts,date_derniere_maj,statut_precedent,date_debut,date_echeance,notes,projet,urgence,ssir_type_task,qualification_necessaire,ssir_qualification,datenow,str_statut,str_urgence,str_qui,str_bureau,str_impact,date_creation,date_modif,Créé par,strategie_id,strategie_objectif,strategie_sous_objectif,strategie_action,strategie_id_sous_objectif
,,Firewall,"OK pour la mise en marche planification en cours - tâche terminée
firewall - préparation marché - ok avec caih
point
Revoir le doc à transmettre à didier",,Réseau,"Alex, Presta, Thomas, Timothée",Élevé (2),Important,Terminé,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Terminé,Courte,"Alex, Presta, Thomas, Timothée",Réseau,Important,2025-04-22 9:55am,2025-07-11 19:02:03.591381+02:00,timothee.foucart,rzo_conformite,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Suivi du plan d'action de l'audit réseau pour disposer d'une architecture réseau simplifiée, segmentée, exploitable et maintenable","Mettre en conformité les réseaux, logiciels et matériels"
,,"POC KVM proxmox, nouveau système de virtualisation","[11/07/2025 01:49 (Utilisateur)]
paul/ mise en place d'un serveur pour déplacer les VM optimops

---

mise en place d'un lab proxmox ? avec  l'ancienne infra artemis
+ tf => se renseigner sur le matériel
 négociation en cours avec scc

récupèrer les serveurs inetum pour le lab proxmox : ??? en attente
serveurs replacés en sgc : qui gère ?",,Exploit,Landry,Élevé (2),Important,À faire,,2025-07-11 7:02pm,,,,,infrastructure système,Courte,,non,,2025-07-11 7:02pm,À faire,Courte,Landry,Exploit,Important,2025-04-23 5:32pm,2025-07-11 19:02:03.591466+02:00,timothee.foucart,GT_Bâtir_les_systèmes_Proposer_les_outils,Assurer la transition vers les systèmes d'information de demain,Bâtir les systèmes d'information de demain,"Proposer les outils de demain (informatique = cloud, outils de communication modernes, téléphonie)",Mettre à jour le schéma directeur informatique
,,nomenclatures,mise en place nomenclatures de nommage,,Exploit,Théo,Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Validation,Courte,Théo,Exploit,Important,2025-04-25 8:36pm,2025-07-11 19:02:03.591553+02:00,timothee.foucart,exploit_refonte_nomenclature,Assurer le fonctionnement des systèmes d'information ,Appliquer les dispositions organisationnelles des annexes 1 et 2,"Refonte et simplification des nomenclatures de groupes de sécurité et des groupes de distribution, et création de groupes, comptes, boîte mail ou liste de diffusion par le bureau exploitation.",Appliquer les dispositions organisationnelles des annexes 1 et 2
,,nomenclature  AD goupes et listes mail - mise en oeuvre,"[09/07/2025 21:38]
mise en œuvre de la nouvelle nomenclature, suppression de l'ancienne.
relance CODIR par yvon.
A planifier pour l'été

---

mise en œuvre de la nouvelle nomenclature, suppression de l'ancienne.
relance CODIR par yvon.
A planifier pour l'été",,Exploit,Théo,Normal (3),Important,En cours,,2025-07-11 7:02pm,,,,,conformité SSI,,,non,,2025-07-11 7:02pm,En cours,,Théo,Exploit,Important,2025-05-07 2:07pm,2025-07-11 19:02:03.591640+02:00,timothee.foucart,exploit_refonte_nomenclature,Assurer le fonctionnement des systèmes d'information ,Appliquer les dispositions organisationnelles des annexes 1 et 2,"Refonte et simplification des nomenclatures de groupes de sécurité et des groupes de distribution, et création de groupes, comptes, boîte mail ou liste de diffusion par le bureau exploitation.",Appliquer les dispositions organisationnelles des annexes 1 et 2
,,supervision tomcat par jmx,"mettre en oeuvre une supervision des instances tomcat de production en d'appuyant sur jmx
créer un serveur de test tomcat au besoin
objectif : mesurer l'activité des tomcat
ok les indicateurs sont mis ainsi que la sonde zabbix, reste à faire les indicateurs KPI",,BDD,"Chloé, Timothée",Élevé (2),Important,Terminé,,2025-07-11 7:02pm,,,,,,Moyenne,,non,,2025-07-11 7:02pm,Terminé,Moyenne,"Chloé, Timothée",BDD,Important,2025-05-07 11:05pm,2025-07-11 19:02:03.591755+02:00,timothee.foucart,chef_ssir_formationaux indicateurs,Garantir la sécurité des systèmes d'information ,Indicateurs de sécurité,Sensibilisation/formation à partir de ces indicateurs.,Indicateurs de sécurité
,,Fiabilisation solution de gestion mot de passe coffre fort,"[10/07/2025 22:44]
Paul : mise en place de bitwarden. A voir pour le coût. Attention à la possibilité d'un liaison ad

Proposer une alternative à keepass, un plantage = pas possible = psono ? https://doc.psono.com/ (coût si liaison AD)
Bitwarden ?
toujours en attente d'une méthode claire = ?
Besoin fonctionnel à qualifier précisément

---

proposer une alternative à keepass, un plantage = pas possible = psono ? https://doc.psono.com/ (coût si liaison AD)
Bitwarden ?
toujours en attente d'une méthode claire = ?
Besoin fonctionnel à qualifier précisément",,Exploit,"Paul, Théo",Élevé (2),Important,À faire,,2025-07-11 7:02pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,"Paul, Théo",Exploit,Important,2025-05-07 11:14pm,2025-07-11 19:02:03.591855+02:00,timothee.foucart,tous_nouveaux outils,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,"Inclure les nouveaux outils, les solutions émergentes",Mettre à jour le schéma directeur informatique
,,crimson déploiement,quel est le rôle du ssir ?,,"Chef SSIR, Exploit","Théo, Timothée",Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,,Évolution applicative,Courte,,non,,2025-07-11 7:02pm,En cours,Courte,"Théo, Timothée","Chef SSIR, Exploit",Modéré,2025-06-06 1:47pm,2025-07-11 19:02:03.591936+02:00,timothee.foucart,Mettre_en_place_Prévoir_et_accompagner,Répondre aux demandes des métiers,Mettre en place les solutions NexSIS-RRF,Prévoir et accompagner les évolutions techniques,Mettre en place les solutions NexSIS-RRF
,,artemis passage v2.8,"[09/07/2025 17:30]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 17:30]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:57]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:46]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:19]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:18]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:17]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 13:17]
Revoir les dépendances et adhérences applicatives
BO
FMELOX
Posgtres
#-------------------------------------------------------------
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 08:28]
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

[09/07/2025 08:26]
# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?

---

# Voir l'impact pour clarisse=> tf faire le point sur les version des applicatifs livrés.
# fiche ope et etare anssi=> identifier le circuit technique
# voir avec isa si le smbv1 peut être évincé pat sftp ? =>nas => faire l'inventaire.
# ########
faites l'inventaire
####

#prévu en octobre ?",,"Chef SSIR, Réseau","Chloé, Clarisse, Isabelle, Théo",Élevé (2),Important,En attente,,2025-07-11 7:02pm,,,,,Évolution applicative,Courte,,non,,2025-07-11 7:02pm,En attente,Courte,"Chloé, Clarisse, Isabelle, Théo","Chef SSIR, Réseau",Important,2025-06-06 1:48pm,2025-07-11 19:02:03.592015+02:00,timothee.foucart,chefssir_amoa,Répondre aux demandes des métiers,Pérenniser les outils à destination des métiers et utilisateurs,Aide à la maitrise d'ouvrage pour la continuité des outils et le support avec les fournisseurs de logiciels,Pérenniser les outils à destination des métiers et utilisateurs
,,Gestion Oxio : migration QLIKSENSE - oracle - ETL,"OK ça semble clair, à planifier 
Réunion avec Damien martin ok
finir la migration BO
Voir quel est le rôle de oxio dans la gestion du serveur ?",,BDD,"Chloé, Isabelle",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,"Chloé, Isabelle",BDD,Important,2025-06-10 11:21am,2025-07-11 19:02:03.592111+02:00,timothee.foucart,chefssir_amoa,Répondre aux demandes des métiers,Pérenniser les outils à destination des métiers et utilisateurs,Aide à la maitrise d'ouvrage pour la continuité des outils et le support avec les fournisseurs de logiciels,Pérenniser les outils à destination des métiers et utilisateurs
description,,Mise en place d'une GED,"emmanuel ciza prendre rdv ok => rechercher d'autres presta on peut déjà partir sur l'installation d'une ged + onlyoffice + lien Astre, Libriciel (Pastell, i-parapheur) + autres applicatifs (Maarch, ...?)
+ isa a un nouveau contact=> voir avec lui il est à l'ugap

",,"BDD, Chef SSIR","Isabelle, Thomas",Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,,,Moyenne,,non,,2025-07-11 7:02pm,Validation,Moyenne,"Isabelle, Thomas","BDD, Chef SSIR",Important,2025-06-10 11:55am,2025-07-11 19:02:03.592200+02:00,timothee.foucart,tous_nouveaux outils,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,"Inclure les nouveaux outils, les solutions émergentes",
,,kemp upgrade et  résilience,"augmentation mémoire OK 
+ ajout de waf systématique

Mise à jour firmware à planifier
Mise en cluster possible , peut être se faire accompagner",,"Chef SSIR, Réseau",Alex,Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,,infrastructure réseau,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,Alex,"Chef SSIR, Réseau",Modéré,2025-06-10 4:16pm,2025-07-11 19:02:03.592288+02:00,timothee.foucart,chefssirssi_acces_distants,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Sécurisation et homogénéisation des moyens d'accès distant (RDS, VPN, dotations en matériel portable)","Mettre en conformité les réseaux, logiciels et matériels"
,,supervision - détection pannes réseau,"écrire les conf ospf avec le sdis25
vérifier les moyens de supervision ospf ?
trinaps gère les routes",,Chef SSIR,Alex,Normal (3),Modéré,À faire,,2025-07-11 7:02pm,,,,,infrastructure réseau,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,Alex,Chef SSIR,Modéré,2025-06-12 3:20pm,2025-07-11 19:02:03.592378+02:00,timothee.foucart,rzo_conformite,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Suivi du plan d'action de l'audit réseau pour disposer d'une architecture réseau simplifiée, segmentée, exploitable et maintenable",
,,element - mise à niveau  interne ou hébergé,"problème avec le paypal haha, recgherche d'un gentil intermédiaire
-----------------------
Voir l'hébergement + lien avec passerelle sms :
https://etke.cc/
formule de ouf avec jitsee hébergé ailleurs : 94$/mois => 1200/an
formule de ouf qu'on héberge :; 64$/mois
probléme paiement paypal...

https://datanauten.de/
on est sur du 600€/an pas de jitsee
https://communick.com/matrix
tarification pas hyper claire demander à corinne si on peut payer en BTC ou en XMR
https://shop.fairkom.net/warenkorb/
propose des serveurs à 4000€/an
https://element.io/pricing
ok on est à 5€/user tout compris avec visio mais c'est pas clair 
https://ossrox.org/
Bon encore des nazis on est au moins à 1600€/mois pour 100utilisateurs
",,"Chef SSIR, Exploit",Théo,Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,En cours,Courte,Théo,"Chef SSIR, Exploit",Modéré,2025-06-12 3:40pm,2025-07-11 19:02:03.592462+02:00,timothee.foucart,tous_nouveaux outils,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,"Inclure les nouveaux outils, les solutions émergentes",Mettre à jour le schéma directeur informatique
,,renouvellement copieurs,"commandes en attente ; réactivité du titulaire quasi nulle
A relancer",,Exploit,,Normal (3),Modéré,Bloqué,,2025-07-11 7:02pm,,,,,,Moyenne,,non,,2025-07-11 7:02pm,Bloqué,Moyenne,,Exploit,Modéré,2025-06-18 9:19am,2025-07-11 19:02:03.592547+02:00,timothee.foucart,tous_mcoamoa,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,Prendre en compte les évolutions validées suite aux travaux des groupes,Appliquer les dispositions organisationnelles des annexes 1 et 2
,,pc cta hors cta - a finir,"pc cta hors cta seccor
A finir, oui mais pas d'urgence le cta est fait => à virer ? plutôt de l'exploitation, pas un tâche déterminée dans le temps???
c'est du courant, pas d'urgence à changer le cta est fait",,Exploit,,Normal (3),,Terminé,,2025-07-11 7:02pm,,,,,,,,non,,2025-07-11 7:02pm,Terminé,,,Exploit,,2025-06-18 9:27am,2025-07-11 19:02:03.592621+02:00,timothee.foucart,,,,,
,,affichage dynamique,"[09/07/2025 13:48]
Visiblement un problème à l'installation du serveur. En attente de l'identification dudit problème ?
Telelogos a proposé son aide malgré que nous n'ayons pas d econtrat de maintenance

---

affichage dynamique priorité basse",,Exploit,,Faible (4),Mineur,Bloqué,,2025-07-11 7:02pm,,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,Bloqué,Moyenne,,Exploit,Mineur,2025-06-18 9:40am,2025-07-11 19:02:03.592706+02:00,timothee.foucart,GT_Bâtir_les_systèmes_Proposer_les_outils,Assurer la transition vers les systèmes d'information de demain,Bâtir les systèmes d'information de demain,"Proposer les outils de demain (informatique = cloud, outils de communication modernes, téléphonie)",Appliquer les dispositions organisationnelles des annexes 1 et 2
,,LAPS,"bloqué sur certains serveurs : identifier le problème ?
pas prioritaire mais besoin d'un point sur la nature des blocages",,,Paul,Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,,Conformité SSI,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,Paul,,Modéré,2025-06-18 9:44am,2025-07-11 19:02:03.592793+02:00,timothee.foucart,,,,,
,,décommissionnement de la pki,"virer l'ancien serveur antivirus et la pki windows
+ trouver une autre solution de PKI ???",,Exploit,Timothée,Normal (3),Modéré,À faire,,2025-07-11 7:02pm,,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,Timothée,Exploit,Modéré,2025-06-18 9:46am,2025-07-11 19:02:03.592877+02:00,timothee.foucart,exploit_ad_durci,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels",Mise en conformité et durcissement de l'AD,
,,changement arborescence du serveur de fichier,"[11/07/2025 01:36 (Utilisateur)]
Pour suivi gsar informé du plan de classement aujourd'hui

---

[09/07/2025 13:51]
Pour suivi gsar informé du plan de classement aujourd'hui

---

[09/07/2025 13:50]
Pour suivi gsar informé du plan de classement aujourd'hui

---

blocage gsrh / => les voir => tf
gsos => lionel / onillon => tf 
log => pliage de poil de cul en 4 => tf
sds => pas abordé
gsaf => a voir 
----
attention nomenclature
blocage ? 
dir =>ok
pas un gros chantier
  en cours en attente",,Exploit,,Élevé (2),Important,Bloqué,,2025-07-11 7:02pm,,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,Bloqué,Moyenne,,Exploit,Important,2025-06-18 10:08am,2025-07-11 19:02:03.592967+02:00,timothee.foucart,Mettre_en_place_Prévoir_et_accompagner,Répondre aux demandes des métiers,Mettre en place les solutions NexSIS-RRF,Prévoir et accompagner les évolutions techniques,
,,archivage mail,"tf voit la faisabilité avec piller mail ; commencé mais doc pas hyper claire
+
voir avec un intégrateur le coût d'un archivage mail
en attente d'un retour après échange
",,Chef SSIR,Timothée,Élevé (2),Important,À faire,,2025-07-11 7:02pm,,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,Timothée,Chef SSIR,Important,2025-06-18 10:32am,2025-07-11 19:02:03.593053+02:00,timothee.foucart,,,,,
,,kemp  - mise à jour ram pour avoir plus de waf,"à planifier
sauvegarde arrêt augmenetation de 8 Go
démarrage",,,,Normal (3),,Terminé,,2025-07-11 7:02pm,,2025-07-03,,,,,,non,,2025-07-11 7:02pm,Terminé,,,,,2025-07-03 9:43pm,2025-07-11 19:02:03.593131+02:00,timothee.foucart,,,,,
,,suivi des tests réseau,"définir le périmètre et les inconnues
définir les procédures de test impact utilisateurs et moyen de vérification
préparer des sondes de supervision
demander des compte-rendus",,Réseau,"Alex, Thomas",Élevé (2),Critique,À faire,,2025-07-11 7:02pm,,,,,infrastructure réseau,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,"Alex, Thomas",Réseau,Critique,2025-07-03 9:51pm,2025-07-11 19:02:03.593215+02:00,timothee.foucart,,,,,
,,marché resah apollo - famille,refourguer les code familles à c.Echennoz ?????? projet ??????????,,,,Normal (3),,Terminé,,2025-07-11 7:02pm,,,,,,,,non,,2025-07-11 7:02pm,Terminé,,,,,2025-07-03 9:54pm,2025-07-11 19:02:03.593305+02:00,timothee.foucart,,,,,
,,migration vers apache hop,"migrer de talend vers apache hop 
identifier les points bloquants et terminer les ticket d'assistance",,BDD,"Chloé, Isabelle",Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,"Chloé, Isabelle",BDD,Modéré,2025-07-07 10:54am,2025-07-11 19:02:03.593374+02:00,timothee.foucart,,,,,
